timestamp,precio_uf,is_demo,comuna,tipo_propiedad,metros_totales,metros_construidos,dormitorios,banos,estacionamientos,antiguedad_anos,piso,orientacion,gastos_comunes,cercania_metro,ascensor
2025-06-20 21:07:53.081368,623013.4742232797,False,Maipú,Casa,140.0,90.0,4,2,1,10,1,Norte,0,False,False
2025-06-20 21:11:08.725052,2675.0,False,Maipú,Casa,140.0,90.0,4,2,1,25,1,Suroriente,0,False,False
2025-06-20 21:14:16.050284,2450.0,False,Maipú,Departamento,140.0,90.0,4,2,1,25,1,Suroriente,50000,False,False
2025-06-20 21:15:28.336699,5150.0,False,Providencia,Departamento,120.0,90.0,4,2,1,25,9,Suroriente,70000,False,True
2025-06-20 21:45:13.682367,3800.0,False,Conchalí,Departamento,100.0,90.0,2,2,1,10,5,Norte,120000,False,True
2025-06-20 23:14:02.732267,3800.0,False,Huechuraba,Departamento,100.0,90.0,4,2,1,25,8,Norte,100000,False,False
2025-06-21 21:53:39.487591,4595.82843109686,True,Independencia,Casa,100.0,90.0,4,2,1,30,1,Norte,0,False,False
2025-06-21 23:25:02.411058,4383.408127031124,True,La Florida,Casa,100.0,90.0,4,3,1,10,1,Norte,0,False,False
2025-06-21 23:25:29.610882,5517.705716204505,True,Maipú,Casa,100.0,90.0,4,3,1,10,1,Norte,0,False,False
2025-06-21 23:25:56.292661,5517.462044961945,True,Puente Alto,Casa,100.0,90.0,4,3,1,10,1,Norte,0,False,False
2025-06-21 23:26:29.792690,5620.60755004605,True,Recoleta,Casa,100.0,90.0,4,3,1,10,1,Norte,0,False,False
2025-06-21 23:27:15.394795,4242.5163590304655,True,La Florida,Casa,100.0,90.0,4,3,1,10,1,Norte,0,False,False
2025-06-21 23:28:55.612984,7542.760782754495,True,Providencia,Casa,100.0,90.0,4,3,1,10,1,Norte,0,False,False
2025-06-21 23:29:24.088554,5558.319710904029,True,Maipú,Casa,100.0,90.0,4,3,1,10,1,Norte,0,False,False
2025-06-21 23:29:50.801255,6637.436012192229,True,La Reina,Casa,100.0,90.0,4,3,1,10,1,Norte,0,False,False
